ticket_id,created_at,week,queue,category,channel,resolution_minutes,first_contact_resolution,csat,escalated
TKT-0001,2026-03-27,2026-W13,Account,Subscription change,Chat,9,1,,0
TKT-0002,2026-02-28,2026-W09,Account,Sign-in,Chat,4,1,4.0,1
TKT-0003,2026-02-02,2026-W06,Playback,Video quality,Email,25,1,4.2,0
TKT-0004,2026-02-17,2026-W08,Account,Profile settings,Chat,20,1,4.6,0
TKT-0005,2026-02-22,2026-W08,Account,Profile settings,Email,13,1,4.7,0
TKT-0006,2026-02-03,2026-W06,Billing,Payment failed,Phone,37,0,4.1,0
TKT-0007,2026-02-19,2026-W08,Account,Profile settings,Email,19,1,4.4,0
TKT-0008,2026-03-05,2026-W10,Playback,Audio and subtitles,Email,32,1,5.0,0
TKT-0009,2026-02-14,2026-W07,Playback,Buffering,Chat,29,0,4.0,0
TKT-0010,2026-03-28,2026-W13,Playback,Video quality,Chat,18,1,4.0,0
TKT-0011,2026-02-20,2026-W08,Account,Sign-in,Chat,25,1,,1
TKT-0012,2026-03-26,2026-W13,Account,Subscription change,Chat,26,1,4.8,0
TKT-0013,2026-01-06,2026-W02,Billing,Payment failed,Email,41,1,3.9,0
TKT-0014,2026-03-04,2026-W10,Account,Subscription change,Phone,27,1,5.0,0
TKT-0015,2026-02-12,2026-W07,Devices,Device limit,Email,24,1,4.1,0
TKT-0016,2026-01-05,2026-W02,Billing,Refund request,Chat,35,0,,0
TKT-0017,2026-03-18,2026-W12,Devices,Device activation,Email,31,0,4.5,0
TKT-0018,2026-03-16,2026-W12,Account,Subscription change,Phone,28,1,4.7,0
TKT-0019,2026-02-13,2026-W07,Playback,Audio and subtitles,Email,28,1,,0
TKT-0020,2026-02-02,2026-W06,Account,Sign-in,Email,32,1,4.9,0
TKT-0021,2026-01-09,2026-W02,Devices,Device activation,Chat,15,1,4.1,0
TKT-0022,2026-03-19,2026-W12,Playback,Video quality,Email,31,1,4.2,1
TKT-0023,2026-01-11,2026-W02,Billing,Invoice question,Chat,35,1,3.9,0
TKT-0024,2026-03-03,2026-W10,Account,Sign-in,Chat,4,1,5.0,0
TKT-0025,2026-01-11,2026-W02,Billing,Invoice question,Email,46,0,3.7,0
TKT-0026,2026-02-01,2026-W05,Devices,Device activation,Chat,38,1,3.9,0
TKT-0027,2026-03-17,2026-W12,Billing,Refund request,Chat,24,1,4.0,0
TKT-0028,2026-01-12,2026-W03,Account,Profile settings,Chat,19,0,4.4,0
TKT-0029,2026-03-22,2026-W12,Account,Sign-in,Chat,14,0,,0
TKT-0030,2026-03-20,2026-W12,Playback,Video quality,Phone,28,1,4.0,0
TKT-0031,2026-02-12,2026-W07,Playback,Buffering,Chat,31,1,,0
TKT-0032,2026-03-14,2026-W11,Account,Profile settings,Chat,17,1,5.0,0
TKT-0033,2026-03-15,2026-W11,Billing,Invoice question,Phone,34,0,3.6,0
TKT-0034,2026-01-18,2026-W03,Devices,Device activation,Chat,30,0,4.3,0
TKT-0035,2026-02-17,2026-W08,Account,Subscription change,Phone,22,1,4.6,0
TKT-0036,2026-02-09,2026-W07,Account,Profile settings,Email,22,1,4.2,0
TKT-0037,2026-01-06,2026-W02,Account,Subscription change,Phone,16,1,,0
TKT-0038,2026-02-13,2026-W07,Playback,Buffering,Phone,27,1,,0
TKT-0039,2026-03-17,2026-W12,Devices,Compatibility,Phone,33,1,4.6,0
TKT-0040,2026-01-27,2026-W05,Devices,Device activation,Chat,17,0,4.3,0
TKT-0041,2026-02-05,2026-W06,Playback,Audio and subtitles,Chat,26,0,4.8,0
TKT-0042,2026-02-13,2026-W07,Devices,Device activation,Chat,26,1,4.4,0
TKT-0043,2026-02-18,2026-W08,Billing,Refund request,Email,59,0,4.1,0
TKT-0044,2026-03-20,2026-W12,Devices,Compatibility,Chat,28,1,4.0,0
TKT-0045,2026-01-19,2026-W04,Playback,Audio and subtitles,Chat,11,1,4.2,0
TKT-0046,2026-01-30,2026-W05,Playback,Buffering,Phone,27,0,4.0,0
TKT-0047,2026-03-10,2026-W11,Playback,Video quality,Chat,28,1,5.0,0
TKT-0048,2026-01-27,2026-W05,Billing,Refund request,Chat,35,0,4.6,0
TKT-0049,2026-02-15,2026-W07,Playback,Video quality,Email,45,1,4.2,0
TKT-0050,2026-02-10,2026-W07,Playback,Audio and subtitles,Email,34,1,4.7,0
TKT-0051,2026-01-23,2026-W04,Account,Sign-in,Phone,5,1,4.8,0
TKT-0052,2026-02-23,2026-W09,Playback,Buffering,Chat,34,1,3.8,0
TKT-0053,2026-02-02,2026-W06,Account,Subscription change,Chat,21,1,4.3,0
TKT-0054,2026-03-13,2026-W11,Devices,Device limit,Chat,33,1,3.6,0
TKT-0055,2026-03-16,2026-W12,Playback,Buffering,Email,33,1,5.0,0
TKT-0056,2026-03-12,2026-W11,Playback,Buffering,Chat,23,1,4.8,0
TKT-0057,2026-01-22,2026-W04,Account,Profile settings,Email,17,1,4.5,1
TKT-0058,2026-01-31,2026-W05,Devices,Compatibility,Phone,40,1,3.7,0
TKT-0059,2026-01-05,2026-W02,Devices,Compatibility,Email,26,0,4.3,0
TKT-0060,2026-03-23,2026-W13,Devices,Compatibility,Chat,25,1,4.4,1
TKT-0061,2026-01-26,2026-W05,Devices,Device activation,Phone,23,1,,0
TKT-0062,2026-02-28,2026-W09,Account,Profile settings,Chat,10,1,4.3,0
TKT-0063,2026-02-09,2026-W07,Billing,Refund request,Chat,54,1,4.1,1
TKT-0064,2026-03-29,2026-W13,Account,Subscription change,Chat,16,1,4.6,0
TKT-0065,2026-03-06,2026-W10,Billing,Invoice question,Phone,35,1,3.4,0
TKT-0066,2026-01-19,2026-W04,Billing,Payment failed,Phone,32,1,3.3,1
TKT-0067,2026-02-24,2026-W09,Devices,Device activation,Chat,10,1,,0
TKT-0068,2026-02-12,2026-W07,Devices,Device limit,Email,46,0,4.2,0
TKT-0069,2026-01-13,2026-W03,Playback,Video quality,Chat,18,1,4.5,0
TKT-0070,2026-03-04,2026-W10,Billing,Refund request,Chat,19,1,3.6,0
TKT-0071,2026-03-05,2026-W10,Playback,Audio and subtitles,Email,39,1,4.3,0
TKT-0072,2026-03-05,2026-W10,Playback,Audio and subtitles,Chat,26,1,4.7,0
TKT-0073,2026-02-17,2026-W08,Playback,Audio and subtitles,Email,43,1,3.9,1
TKT-0074,2026-03-08,2026-W10,Playback,Buffering,Email,34,1,4.3,0
TKT-0075,2026-02-05,2026-W06,Playback,Audio and subtitles,Chat,34,1,4.3,0
TKT-0076,2026-03-04,2026-W10,Playback,Video quality,Chat,23,1,3.5,0
TKT-0077,2026-01-29,2026-W05,Account,Profile settings,Chat,4,1,4.0,0
TKT-0078,2026-02-11,2026-W07,Account,Sign-in,Chat,19,1,4.7,0
TKT-0079,2026-01-21,2026-W04,Billing,Refund request,Chat,25,1,4.2,0
TKT-0080,2026-02-06,2026-W06,Devices,Compatibility,Chat,17,1,4.0,0
TKT-0081,2026-03-18,2026-W12,Devices,Device activation,Phone,22,1,3.9,0
TKT-0082,2026-03-12,2026-W11,Playback,Video quality,Chat,22,1,4.4,0
TKT-0083,2026-01-17,2026-W03,Devices,Device activation,Email,45,1,4.3,1
TKT-0084,2026-02-26,2026-W09,Playback,Audio and subtitles,Chat,21,1,,0
TKT-0085,2026-02-03,2026-W06,Devices,Device limit,Email,51,0,,0
TKT-0086,2026-02-02,2026-W06,Billing,Refund request,Email,47,1,4.3,1
